 ,background,flooded_building,unflooded_building,flooded_road,unflooded_road,water,tree,vehicle,swimming_pool,grass,none
background,24885247,100727,427966,1162223,1244374,3687286,927167,55647,88882,1496417,38953
flooded_building,378964,43305039,1485439,1037868,108204,1752826,2098350,266612,322921,2539051,115122
unflooded_building,441112,5503076,69859262,248047,1008263,441893,465847,172284,198244,2721837,112545
flooded_road,4338086,1189231,173010,59878069,259045,4667947,6367056,347226,76221,2981038,43582
unflooded_road,693486,56765,555185,691334,109906662,623641,1643799,596492,302777,10696653,239245
water,232926,1392267,81096,8465017,361498,210049093,4498460,275982,727310,8877466,127090
tree,1434116,1785121,509885,4051191,1119873,9255794,361820691,1044267,771792,28757767,356358
vehicle,38053,116371,38852,70689,249491,76495,177663,3027314,52112,290784,7900
swimming_pool,31033,135434,15811,19733,3692,377728,47512,34216,4818814,552689,8161
grass,12465681,4479036,3595740,6867266,7221522,48649891,28073727,2244134,2952625,1191802932,1333408
none,177634,16585,1927,131,5,0,0,0,0,0,0
