 ,background,flooded_building,unflooded_building,flooded_road,unflooded_road,water,tree,vehicle,swimming_pool,grass,none
background,16202468,59034,535704,62006,1324173,6003914,989323,77351,163734,8610906,79929
flooded_building,343840,45729570,191495,968888,82976,1448499,2091927,180050,265911,2031101,89398
unflooded_building,169461,5671946,70145435,224696,994196,396565,517437,209921,164819,2557278,113979
flooded_road,4405040,1397095,165101,62042135,226964,2700984,6050496,293872,81547,2904078,51094
unflooded_road,192423,38222,855526,581748,109550366,926141,1955660,647187,313760,10697518,248712
water,306043,1756358,83176,9380577,332348,208566634,3892835,248327,712083,9655228,149021
tree,497433,2012073,607006,4567846,1089766,10812986,357987828,1017214,783438,31164954,369061
vehicle,45805,195387,125412,71195,325213,75644,193973,2649469,58113,396573,11779
swimming_pool,15189,172992,19289,11661,3985,339598,71780,31184,4670065,698337,11084
grass,23579706,6490582,4018796,8419089,8234939,28096763,31695198,2047072,2846628,1192849534,1404588
none,180762,16907,1843,127,1,0,0,0,0,0,0
